Sample	CSM5FZ3N_P	CSM5FZ3T_P	CSM5FZ4A_P	CSM5FZ4E_P	CSM5LLGB_P	CSM5MCTZ_P	CSM5MCU4_P	CSM5MCUQ_P	CSM5MCWA_P	CSM5MCWK_P	CSM5MCXB_P	CSM5MCXF_P	CSM5MCYU_P	CSM67U9T_P	CSM67U9V_P	CSM67U9X_P	CSM67UAI_P	CSM67UCU_P	CSM67UH7	CSM6J2H9_P	CSM79HG7_P	CSM79HH2_P	CSM79HHM	CSM79HHW_P	CSM79HHW	CSM79HJI_P	CSM79HKX	CSM79HNE	CSM79HQR_P	CSM7CZ2F_P	CSM7KOP6	CSM7KOQ5_P	CSM7KOQP_P	CSM7KOTO	CSM7KOUJ_P	ESM5GEXY	ESM5GEYU_P	ESM5GEYX_P	ESM5GEZ4_P	ESM5MEA7_P	ESM5MEB7	ESM5MEC7_P	ESM5MEDD	ESM7F5AE_P	HSM5FZBP_P	HSM5MD3L_P	HSM5MD3Y	HSM5MD48	HSM5MD4N	HSM5MD4U_P	HSM5MD5X_P	HSM5MD6E_P	HSM5MD6O_P	HSM5MD82_P	HSM5MD8F_P	HSM5MD8J_P	HSM67VCX_P	HSM67VDR_P	HSM67VDT_P	HSM67VDT	HSM67VDX_P	HSM67VF9	HSM67VFR	HSM67VID	HSM6XRQE_P	HSM7CYWS_P	HSM7CZ1T_P	HSM7CZ2V_P	HSM7CZ2X_P	HSM7J4IC	HSM7J4J7	HSM7J4JH	HSM7J4JT_P	HSM7J4JV_P	HSMA33IA	HSMA33IE	HSMA33J1_P	MSM5FZ9N_P	MSM5LLD6_P	MSM5LLEP	MSM5LLF2_P	MSM5LLFG_P	MSM5LLFK_P	MSM5LLH2_P	MSM5LLHG_P	MSM5LLHV_P	MSM6J2JF_P	MSM6J2JH_P	MSM6J2LW	MSM6J2PO	MSM6J2RG_P	MSM79H52_P	MSM79H5E	MSM79H7C	MSM79H81	MSM79H8D	MSM79H94_P	MSM79H98	MSM79H9U_P	MSM79HAJ	MSM79HBZ	MSM9VZFJ_P	MSM9VZIM	MSM9VZIY	MSM9VZJF_P	MSM9VZJJ_P	MSM9VZL5	MSM9VZL7	MSM9VZN4_P	MSMA267V	PSM6XBQM_P	PSM6XBRK_P	PSM6XBRK_TR	PSM6XBRK	PSM6XBRM_P	PSM6XBSE_P	PSM6XBSE	PSM6XBSG_P	PSM6XBTR	PSM6XBVY_P	PSM6XBW1_P	PSM6XBW3	PSM7J12J	PSM7J12V	PSM7J13I	PSM7J15W	PSM7J4EF	PSMA264O	PSMA265X
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	0	0	0	0.00729	0	0.00755	0.05636	0.60531	0	0	0.10964	0	0	0	0.70104	0	0	0.23957	0.0669	0.06266	0	0.07612	0.00865	0	0	0.12565	0	0	0	0.09807	0	0	0	0.3094	0.23848	0	0.01053	0.11587	0	0	0.00525	0.01151	0.3904	0.03767	0	1.37596	0	0	0.03642	0	0	0.00548	0.01657	0.36319	0.18776	0	0	0	0.03969	0.03135	0.00473	0	0	0	0	0.03075	0	0.03581	0	0	0	0	0	0	0.02595	0	0.2846	0	0	0	0	0	0	0	0	2.66605	0	0	0.00566	0	0.42806	0	0.09338	0	0.0251	0.11992	0	0.00241	0	0.02095	0	0.113	0	0.02365	0	0.0198	0.02951	0.1315	0.13167	0.28569	0	0.1763	0.09407	0.10092	0.0863	0	0	0	0.05048	0.35343	0.07711	0	0	0.24911	0	0	0	0	0.19178
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0.59637	0.03344	0	0	0.29239	0	0	0	0.16352	0	0.12014	0	0	0.0313	0.04672	0.23605	0	0	0	0	0	0.05087	0	0	0	0.41436	0	0.0313	0	0	0	0.11334	0	0.04559	0	0.00176	0.56211	0.35524	0.1124	0	0	0.04158	0.02178	0.07818	0.08531	0.40524	0	0	0.02968	0.31774	0	0.00134	0.00426	2.93267	0	0	0.01073	0.04584	0.01114	0.00188	0	0	0	0	0	0.19014	0	0	0	0.00246	0	0	0.03857	0	0.01063	0	0	0	0.09976	0.0164	0	0	0.02559	0	0.14074	0.55197	0.11496	0	0	0	0.1199	0	0	0	0.03072	0	0.10875	0	0	0	0	0	1.46272	0.582	0	0.95474	0.01759	0	0	0	0.00468	0	0	0	0.44675	0	0	0	0.05919	0	0	0	0	0	0	0	2.03636	0.14993	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0	0	0	0	0.06266	0	0	0	30.66357	0.00698	0.97971	0	0	0	0	0.03497	3.85202	0	0	0.00311	0	0	0	0.03734	0.08853	1.29623	0.01549	0	3.91048	0	0	0.20253	15.13254	0	0	0.62421	4.63792	0.65291	0.24677	9.28715	0	0.17831	0	0	0	0.03126	3.11387	1.25108	0	1.03942	4.31077	0	0.93307	0.01447	0	0	0	0.08159	0.00192	0.00427	0	0	0.01706	0	0	0	0	0	1.23455	0.4807	0.0267	13.48609	0	0.2994	0	0	0	20.25799	0	0	42.38002	0	2.11893	0	0	0	0.52654	0	0.17423	1.09995	0.80019	0	0	0.01329	4.36061	0.03076	0	0.0135	0	0	31.97113	0	0.04349	0	0	0.01905	0	0.0547	0.13316	0	6.15742	0.06699	0.06134	0.04315	0.03212	0.68895	0.85371	0	0	0.67444	0.00672	11.76285	3.69818	0.03422	2.24417	0	0.23004	0.176	0.00919
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0	0	0	0	0.00276	0	0	0	0.0017	0	0.12959	0	0	0	0	0	0.00309	0	0	0	0	0	0	0.03734	0.05321	0	0	0	0.84592	0	0	0	5.12531	0	0	0.01215	0.3368	0.20133	0.18906	0.95204	0	0.02365	0	0	0	0	0.34554	0.18848	0	0.11164	2.5991	0	0.02076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	8.56434	0	0.24139	0	0	0	2.51694	0	0	0.31443	0	0	0	0	0	0.144	0	0.0962	0.03424	0.12035	0	0	0	0.92363	0.02868	0	0	0	0	0.04689	0	0	0	0	0	0	0.00288	0	0	5.70389	0.0048	0.00127	0.00074	0.01546	0.20692	0.21005	0	0	0.62069	0	0.03067	0.28503	0	1.84369	0	0	0.02111	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0	0	0	0	0.03428	0	0	0	0	0.00418	0.48577	0	0	0	0	0	0.2236	0	0	0.00311	0	0	0	0	0	0	0.01434	0	0	0	0	0	0	0	0	0.24749	0.238	0	0.01815	0.60731	0	0	0	0	0	0	0.5343	0.27103	0	0	0.68696	0	0.08645	0.00741	0	0	0	0.03702	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59588	0	0.03621	0	0	0	0.10551	0	0	0.16885	0	0	0	0	0	0.03497	0	0.02541	0.58409	0	0	0	0.00955	1.13824	0	0	0	0	0	2.18938	0	0.04349	0	0	0	0	0.04909	0.07395	0	0.01568	0.00927	0	0.01893	0.00762	0.11421	0.23004	0	0	0	0	2.85705	0.67168	0.01442	0	0	0.21084	0.03256	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	0	0	0	0	0.01144	0	0	0	0	0.0028	0.0524	0	0	0	0	0	0.00525	0	0	0	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0	0	0.04542	0.03438	0.00255	0.01063	0.09754	0	0	0	0	0	0.03126	0.56788	0.11081	0	0	0.22719	0	0.06397	0	0	0	0	0.00468	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67582	0	0	0	0	0	0.1032	0	0	0.03397	0	0	0	0	0	0.00942	0	0.02768	0.11052	0	0	0	0.00374	0.14487	0	0	0	0	0	0.47345	0	0	0	0	0	0	0	0.01669	0	0.01778	0.00068	0	0.01156	0.00904	0.03784	0.09295	0	0	0	0	0.72662	0.18817	0.00157	0	0	0	0.00475	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0	0	0	0	0.01417	0	0	0	30.66187	0	0.25668	0	0	0	0	0.03497	3.57652	0	0	0	0	0	0	0	0.03533	0.01755	0	0	3.06456	0	0	0.20253	10.00723	0	0	0.2934	4.0049	0.44902	0.02893	7.53442	0	0.15465	0	0	0	0	1.5761	0.60748	0	0.92778	0.69856	0	0.75049	0.00705	0	0	0	0.03989	0.00192	0.00427	0	0	0.01706	0	0	0	0	0	0	0.4807	0	0.03722	0	0.02181	0	0	0	17.52009	0	0	41.85101	0	2.11893	0	0	0	0.33815	0	0.0237	0.35798	0.67984	0	0	0	2.03469	0.00208	0	0.0135	0	0	28.91854	0	0	0	0	0.01905	0	0.00274	0.02342	0	0.41128	0.05224	0.06006	0.01192	0	0.32998	0.32068	0	0	0.05375	0.00672	7.85747	2.33823	0.01823	0.08736	0	0.0192	0.11759	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rodentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rogosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_seminalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.27868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_CAG_933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00919
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_sp_T11011_6	0	0	0	0	0	0	0	0	0	0	0.05527	0	0	0	0	0	0.04356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02574	0.02383	0	0	0.07057	0	0	0	0	0	0	0.09005	0.01225	0	0	0.09897	0	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61284	0	0	0	0	0	0.01225	0	0	0.01176	0	0	0	0	0	0	0	0.00124	0.01313	0	0	0	0	0.11919	0	0	0	0	0	0.34287	0	0	0	0	0	0	0	0	0	0.00878	0	0	0	0	0	0	0	0	0	0	0.29104	0.21507	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_tobetsuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02527	0	0	0	0	0	0	0	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31311	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0	0	0.08502	0.09613	0	0.00939	0	0.30675	0	0.13057	0	0	0	0	0	0	0	0	0.0023	0.03943	0	0.06562	0.01168	0.02416	0.00774	0.02788	0.02456	0	0	0.02207	0.01392	0	0	0	0	0	0	0.00101	0	0	0	0.00883	0.04841	0	0.01524	0.8359	0	0	0.01939	0	0	0	0	0.02407	0.06947	0.03088	0	0	0	0	0.01969	0	0	0	0	0	0.00291	0.08186	0	0.05103	0	0	0.02549	0	0.00733	0.08675	0.36574	0	0	0	0	0.35469	0	0	0.00675	0.33464	0	0	0	0	0	0	0.0062	0	0	0.11992	0.01564	0	0.01169	0	0	0	0	0.81806	0	0	0.06488	0	0.0074	0	0.00415	0.02279	0.04481	0.01414	0.01075	0	0	0	0.02426	0.0334	0.02645	0	0.00349	0.03277	0	0.01338	0	0	0.02354
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.00278	0	0	0	0.23392	0	0	0.76006	15.6315	0.04614	1.04395	0.31117	0.05531	0	0.32858	0.02714	21.08468	0.25732	0	0	0	0.71834	0.1612	0.01876	0	17.77863	5.95494	0	1.16315	0.36106	0.09352	0.01386	40.54464	0	0	0.00264	1.88062	0	0	8.20409	0	0.80331	0.25254	0.00882	1.10004	0.10764	0.27553	0.03214	0	1.50046	0.35452	0	0	0.43958	1.02565	0	0	0.01514	0.04001	0.0646	0.41592	10.35152	0.41933	0.2414	0	0	0.10218	0.43732	2.02913	0	1.44645	2.20934	0.21385	0	0	0.02926	0.00425	0.01423	0.01477	0	5.75679	0.1463	0.37132	0.56614	0	0.59794	0.59703	0	0.19925	0	0	0	0	0	0	0	0.12941	0	0.11132	0	25.67488	0.12819	0	0	1.22846	4.21719	0	0	0	0	0	0	0	0	0.0143	0	0	0	0	0	0	16.83888	1.71065	0	0	0	2.00431	0	0.01153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_albertii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.00278	0	0	0	0.23392	0	0	0.76006	15.6315	0.04614	1.04395	0.31117	0.05531	0	0.32858	0.02155	21.08468	0.25732	0	0	0	0.71834	0.1612	0.01876	0	17.77863	5.95494	0	1.16315	0.36106	0.09352	0.01386	40.54464	0	0	0.00264	1.88062	0	0	8.20409	0	0.80331	0.25254	0.00882	1.10004	0.10764	0.27553	0.03214	0	1.50046	0.35452	0	0	0.43958	1.02565	0	0	0.01514	0.04001	0.0646	0.41592	10.35152	0.41933	0.2414	0	0	0.10218	0.43732	2.02913	0	1.44645	2.20934	0.21385	0	0	0.02926	0.00425	0.01423	0.01477	0	5.75679	0.1463	0.37132	0.56614	0	0.59794	0.59703	0	0.19925	0	0	0	0	0	0	0	0.12941	0	0.11132	0	25.67488	0.12819	0	0	1.22846	4.21719	0	0	0	0	0	0	0	0	0.0143	0	0	0	0	0	0	16.83888	1.71065	0	0	0	2.00431	0	0.01153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0.21566	0.03994	0	0	0	0	0	0	0	0	0.04256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68784	0	0	0	0.08388	0	0	0	0	0	0.04206	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.31724	0	0	0	0	0	0.00731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19836	0	2.49326	0	0	0	0	0	0	0	0	0	0.67572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0	0	0.05437	0	0.08511	0	0	0.61316	0.57545	0	0.00718	0	19.89953	0.06951	0	0.00594	0	0	54.69974	0	0	0.1733	0.20712	0	0	0.21309	0.00315	0	0	0.03066	0	0	0	0	0	0	0	0.00393	0	0	0	0.00875	0.26318	0.09837	0	0	0	0	0	0.03412	1.05875	0.01811	0	0.08727	0	3.41481	1.66633	0	2.11957	1.25647	0	0	0	0	0	0	0.12604	0.01519	0	0	0	0.02738	0	0.01509	0	0	0	0	0	0	0.00244	0.47528	0	0.00677	1.21063	4.65323	20.99007	0	1.08282	0	0	0	0.03432	0	0.22187	0	0	0	0.00154	2.31125	0	0	0	0	0	0	0	0	0	0.07229	0	0	0	0	0	0	0	0	0	0.08676	0.00829	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0	0.05437	0	0.08511	0	0	0.61316	0.57545	0	0.00718	0	19.89953	0.06951	0	0.00594	0	0	54.69974	0	0	0.1733	0.20712	0	0	0.21309	0.00315	0	0	0.03066	0	0	0	0	0	0	0	0.00393	0	0	0	0.00875	0.26318	0.09837	0	0	0	0	0	0.03412	1.05875	0.01811	0	0.08727	0	3.41481	1.66633	0	2.11957	1.25647	0	0	0	0	0	0	0.12604	0.01519	0	0	0	0.02738	0	0.01509	0	0	0	0	0	0	0.00244	0.47528	0	0.00677	1.21063	4.65323	20.99007	0	1.08282	0	0	0	0.03432	0	0.22187	0	0	0	0.00154	2.31125	0	0	0	0	0	0	0	0	0	0.07229	0	0	0	0	0	0	0	0	0	0.08676	0.00829	0	0	0	0	0	0	0	0
